Ticker,Sector,Industry,YFQuoteType
INTA,Technology,Software - Application,EQUITY
HLI,Financial Services,Capital Markets,EQUITY
HASI,Real Estate,REIT - Specialty,EQUITY
VAXX,Healthcare,Biotechnology,EQUITY
COP,Energy,Oil & Gas E&P,EQUITY
UAA,Consumer Cyclical,Apparel Manufacturing,EQUITY
SBPYX,Not Found,Not Found,MUTUALFUND
CVX,Energy,Oil & Gas Integrated,EQUITY
GOLD,Basic Materials,Gold,EQUITY
LIN,Basic Materials,Specialty Chemicals,EQUITY
XCEM,Not Found,Not Found,ETF
MDLZ,Consumer Defensive,Confectioners,EQUITY
KO,Consumer Defensive,Beverages - Non-Alcoholic,EQUITY
FDRR,Not Found,Not Found,ETF
SMDV,Not Found,Not Found,ETF
UPS,Industrials,Integrated Freight & Logistics,EQUITY
BUI,Financial Services,Asset Management,EQUITY
CVS,Healthcare,Healthcare Plans,EQUITY
KMB,Consumer Defensive,Household & Personal Products,EQUITY
KR,Consumer Defensive,Grocery Stores,EQUITY
USB,Financial Services,Banks - Regional,EQUITY
BK,Financial Services,Asset Management,EQUITY
HD,Consumer Cyclical,Home Improvement Retail,EQUITY
HDGE,Not Found,Not Found,ETF
HAL,Energy,Oil & Gas Equipment & Services,EQUITY
EFC$D,Not Found,Not Found,Not Found
PII,Consumer Cyclical,Recreational Vehicles,EQUITY
ACI,Consumer Defensive,Grocery Stores,EQUITY
CI,Healthcare,Healthcare Plans,EQUITY
DVA,Healthcare,Medical Care Facilities,EQUITY
SNOW,Technology,Software - Application,EQUITY
CSCO,Technology,Communication Equipment,EQUITY
SBCF,Financial Services,Banks - Regional,EQUITY
CMCSA,Communication Services,Telecom Services,EQUITY
ALK,Industrials,Airlines,EQUITY
CMG,Consumer Cyclical,Restaurants,EQUITY
EL,Consumer Defensive,Household & Personal Products,EQUITY
UNH,Healthcare,Healthcare Plans,EQUITY
PALL,Not Found,Not Found,ETF
PPG,Basic Materials,Specialty Chemicals,EQUITY
EW,Healthcare,Medical Devices,EQUITY
IRM,Real Estate,REIT - Specialty,EQUITY
FNF,Financial Services,Insurance - Specialty,EQUITY
FLNG,Energy,Oil & Gas Midstream,EQUITY
FMC,Basic Materials,Agricultural Inputs,EQUITY
URA,Not Found,Not Found,ETF
